Country_name,date,Total_new_deceased
Brazil,2021-01-07,1524
Brazil,2021-02-18,1367
Brazil,2021-04-24,3076
Brazil,2021-05-07,2165
Brazil,2021-04-20,3321
Brazil,2020-06-04,1473
Brazil,2020-09-09,1075
Brazil,2021-05-05,2811
Brazil,2021-03-20,2438
Brazil,2021-01-30,1279
Brazil,2020-08-01,1088
Brazil,2020-08-07,1079
Brazil,2020-07-08,1223
Brazil,2021-06-20,1025
Brazil,2021-03-25,2777
Brazil,2021-02-09,1350
Brazil,2021-06-02,2507
Brazil,2021-08-18,1064
Brazil,2020-07-16,1322
Brazil,2020-09-15,1113
Brazil,2021-01-14,1131
Brazil,2020-08-11,1274
Brazil,2021-04-09,3693
Brazil,2021-08-04,1175
Brazil,2021-03-26,3650
Brazil,2021-01-09,1171
Brazil,2020-07-15,1233
Brazil,2021-05-09,1024
Brazil,2021-02-23,1386
Brazil,2021-04-04,1240
Brazil,2020-07-01,1038
Brazil,2021-01-29,1119
Brazil,2021-04-05,1319
Brazil,2021-05-14,2211
Brazil,2021-02-17,1150
Brazil,2021-03-23,3251
Brazil,2021-07-07,1648
Brazil,2021-03-29,1660
Brazil,2021-05-20,2403
Brazil,2021-07-28,1344
Brazil,2021-02-11,1351
Brazil,2021-05-27,2245
Brazil,2021-01-16,1050
Brazil,2021-06-10,2504
Brazil,2021-05-21,2215
Brazil,2020-06-25,1141
Brazil,2021-07-16,1456
Brazil,2020-05-26,1039
Brazil,2020-07-29,1595
Brazil,2020-09-30,1031
Brazil,2021-04-13,3808
Brazil,2021-08-05,1099
Brazil,2021-02-26,1337
Brazil,2020-08-21,1054
Brazil,2020-09-02,1184
Brazil,2021-07-10,1205
Brazil,2020-07-31,1212
Brazil,2020-06-02,1262
Brazil,2021-06-18,2495
Brazil,2021-07-24,1108
Brazil,2020-06-20,1022
Brazil,2021-07-21,1424
Brazil,2021-08-10,1211
Brazil,2021-03-18,2724
Brazil,2021-06-08,2378
Brazil,2020-05-29,1124
Brazil,2021-02-19,1308
Brazil,2021-03-12,2216
Brazil,2021-04-27,3086
Brazil,2021-01-12,1110
Brazil,2021-02-04,1232
Brazil,2021-05-25,2173
Brazil,2021-03-11,2233
Brazil,2021-07-01,2029
Brazil,2020-06-17,1269
Brazil,2020-06-18,1238
Brazil,2020-12-31,1074
Brazil,2021-03-04,1699
Brazil,2021-04-02,2922
Brazil,2021-04-22,2027
Brazil,2021-08-17,1106
Brazil,2021-04-06,4195
Brazil,2021-06-03,1682
Brazil,2021-06-22,2131
Brazil,2020-05-19,1179
Brazil,2021-06-05,1689
Brazil,2020-06-11,1239
Brazil,2021-03-13,1997
Brazil,2021-05-01,2656
Brazil,2021-07-02,1857
Brazil,2020-07-17,1163
Brazil,2021-02-10,1330
Brazil,2021-07-27,1333
Brazil,2020-07-24,1156
Brazil,2021-03-30,3780
Brazil,2021-04-29,3001
Brazil,2020-08-05,1421
Brazil,2020-08-14,1060
Brazil,2021-08-12,1148
Brazil,2021-03-22,1383
Brazil,2021-04-30,2595
Brazil,2021-05-02,1202
Brazil,2021-05-13,2383
Brazil,2021-03-09,1972
Brazil,2020-12-17,1092
Brazil,2021-06-04,1454
Brazil,2020-07-14,1300
Brazil,2021-03-16,2841
Brazil,2020-07-03,1290
Brazil,2021-02-16,1167
Brazil,2021-06-17,2311
Brazil,2021-07-14,1556
Brazil,2020-07-21,1367
Brazil,2021-06-25,2001
Brazil,2021-03-21,1290
Brazil,2021-06-29,1893
Brazil,2020-07-30,1129
Brazil,2020-08-26,1085
Brazil,2021-03-05,1800
Brazil,2020-06-24,1185
Brazil,2021-05-08,2202
Brazil,2021-06-16,2997
Brazil,2021-06-13,1129
Brazil,2021-01-19,1192
Brazil,2021-04-07,3829
Brazil,2020-06-05,1005
Brazil,2021-06-12,2037
Brazil,2021-03-03,1910
Brazil,2021-05-11,2311
Brazil,2021-03-28,1656
Brazil,2020-05-27,1086
Brazil,2021-02-12,1288
Brazil,2021-06-19,2301
India,2022-02-08,1241
United States of America,2021-01-06,3809
India,2022-04-24,1399
India,2021-04-14,1185
India,2021-04-12,1027
United States of America,2020-12-23,3175
United States of America,2021-01-15,3343
United States of America,2021-01-17,2518
United States of America,2021-03-10,1503
India,2021-06-07,2219
United States of America,2020-12-31,3721
United States of America,2021-01-02,2332
India,2021-05-07,4092
United States of America,2021-01-24,2401
United States of America,2021-08-13,1179
India,2021-05-03,3780
India,2021-06-11,3303
United States of America,2021-02-20,1817
India,2021-07-19,3998
India,2021-05-30,2795
India,2021-05-05,3915
India,2021-06-24,1183
United States of America,2021-01-11,2543
United States of America,2021-01-30,2685
United States of America,2021-02-28,1014
India,2021-06-19,1422
India,2021-05-06,4187
United States of America,2020-12-26,1616
United States of America,2020-12-21,2161
United States of America,2021-01-21,3763
United States of America,2021-01-26,3475
United States of America,2021-03-17,1008
United States of America,2021-01-28,3789
United States of America,2021-02-14,1478
United States of America,2021-03-26,1019
India,2021-06-09,3403
United States of America,2021-02-24,1916
United States of America,2021-02-05,3291
United States of America,2021-08-19,1359
India,2021-12-03,2796
United States of America,2020-12-30,3711
India,2022-01-30,1192
United States of America,2021-01-25,2052
United States of America,2021-02-19,2352
United States of America,2021-02-21,1491
United States of America,2020-12-16,3374
United States of America,2020-12-22,2882
India,2021-05-17,4529
India,2021-04-27,3645
United States of America,2021-02-08,1626
United States of America,2021-02-25,2860
India,2021-04-28,3498
India,2021-05-02,3449
