Country_name,gdp_per_capita_usd
Saudi Arabia,23139
United Kingdom,43070
France,41300
Aruba,29007
Greece,20296
United Arab Emirates,43103
Bahrain,23503
Belgium,47436
Slovenia,26078
Kuwait,32031
Cyprus,28674
Czech Republic,23010
Canada,46194
Israel,43641
Estonia,23246
Japan,40246
South Korea,31761
New Zealand,42084
Bahamas,32933
Malta,30090
Italy,34456
Portugal,23364
