Country_name,3_letter_code,population,area_sq_km,population_density,population_urban,gdp_per_capita_usd,Total_confirmed_cases_x,Total_confirmed_cases_y,Total_new_vacinations,New_persons_fully_vaccinated,Investment_in_vaccines,Total_tested
Sri Lanka,LKA,21413250,65610,341.465,4052088,3853,670519,670519,17114619,14638849,152500000,7691045
Madagascar,MDG,27691019,587295,47.596,10210849,522,66652,66652,1521766,1276129,0,125476
Marshall Islands,MHL,59194,180,328.856,45514,3788,15180,15180,40406,32752,,3184
Mozambique,MOZ,31255435,786380,39.746,11092106,491,454886,454886,13456303,12792602,0,944051
Norway,NOR,5328212,625217,17.2,4418218,75419,2898659,2898659,4345038,4052256,694263420,11154564
Qatar,QAT,2881060,11610,248.153,2809071,64781,438499,438499,2685749,2230767,0,7574423
Singapore,SGP,5850343,719,8357.633,5703569,65233,1867168,1867168,5024254,5004692,0,14598500
Slovenia,SVN,2080908,20675,102.9,1144654,26078,1146874,1146874,1465398,1294311,16367576,17987462
Somalia,SOM,15893219,637660,25.334,7034861,,27197,27197,3668114,2657353,0,
El Salvador,SLV,6486201,21040,313.041,4694702,4187,201785,201785,4630037,4328276,0,1921625
Turkey,TUR,82003882,785350,106.2,63097818,9042,16852382,16852382,54854453,52818565,750000000,163164533
Vanuatu,VUT,307150,12190,25.197,76152,3058,11921,11921,143339,130493,0,
France,FRA,67012883,549086,105.6,54123364,41300,90395908,90395908,158477834,156439462,600266651,796564259
Aruba,ABW,106766,180,593.144,46295,29007,42970,42970,74151,73366,0,793
Bangladesh,BGD,164689383,147630,1265.187,60987417,1855,2559498,2559498,131389148,121405025,0,13820904
Botswana,BWA,2351625,581730,4.149,1616550,7961,326107,326107,1502742,1350720,0,19426
China,CHN,1439323774,9562910,153.312,842933962,10261,7758224,7758224,680773000,493610000,2952723947,
Ethiopia,ETH,114963583,1104300,114.964,23788710,857,493367,493367,42681242,18646528,0,3585129
Gibraltar,GIB,33691,10,3369.1,33701,,20069,20069,41654,41021,,514
Honduras,HND,9904608,112490,88.521,5626433,2574,455669,455669,6321966,5594514,0,
Jamaica,JAM,2961161,10990,273.422,1650594,5582,150909,150909,830330,722116,6000000000,552068
Cayman Islands,CYM,65720,260,273.833,64948,85477,30545,30545,61663,56948,,9358
Lesotho,LSO,2142252,30360,70.562,607508,1157,34287,34287,924248,872539,0,553
Lithuania,LTU,2794184,65286,44.7,1891013,19116,1232367,1232367,1952481,1877387,4732093,8718186
Luxembourg,LUX,613894,2590,235.1,565488,116348,288527,288527,481657,462508,0,3435347
Morocco,MAR,36910558,446550,82.703,22975026,3204,1264711,1264711,22638416,23484273,0,10487705
Uruguay,URY,3473727,176220,19.848,3303394,16190,982846,982846,3000641,2875500,2500000,6086630
Brazil,BRA,212559409,8515770,25.431,183241641,8717,109948210,109948210,362612803,333119482,148930783,170491633
Switzerland,CHE,8544527,41290,213.6,6332428,81993,8109161,8109161,12078678,11933354,400160460,44450624
Dominican Republic,DOM,10847904,48670,224.501,8787475,8282,641677,641677,7276353,5985208,748800,1524332
Georgia,GEO,3989175,69700,57.406,2196476,4769,1762206,1762206,1645776,1273286,0,13652505
Guatemala,GTM,17915567,108890,167.185,8540945,4619,1112550,1112550,8735448,6847919,0,4067775
Mongolia,MNG,3278292,1564120,2.11,2210626,4295,981618,981618,2269853,2154011,7827300,5490193
Mauritania,MRT,4649660,1030700,4.511,2466821,1677,62778,62778,2005049,1417626,0,45205
Mauritius,MUS,1271767,2040,626.486,515980,11203,260947,260947,1021934,969264,0,
Namibia,NAM,2540916,824290,3.086,1273258,4957,166645,166645,586652,514027,1626240,847071
Tajikistan,TJK,9537642,141380,68.145,2545477,870,17786,17786,5213634,5108163,25000000,
Tonga,TON,105697,750,146.801,24145,4364,16182,16182,88432,75255,0,
Vietnam,VNM,97338583,331230,313.925,35332140,2715,11448034,11448034,89618505,83656864,53966,29193899
Zimbabwe,ZWE,14862927,390760,38.42,4717305,1463,256939,256939,6416575,4730223,100000001,1869683
Colombia,COL,50882884,1141748,45.861,40827302,6432,17784672,17784672,41884807,36446572,0,34044326
Germany,DEU,83019213,357580,234.7,64324835,47554,57763003,57763003,115681002,96180852,1861521162,
Spain,ESP,46937060,505935,93.1,37927409,30326,31279968,31279968,1141160473,861071766,26589481,
Hong Kong,HKG,7496988,1110,7139.989,7507400,48755,15441,15441,6837449,6635359,14322225,
Malaysia,MYS,32655400,330345,98.512,24475766,11414,9626305,9626305,55760136,55003624,0,110404330
Philippines,PHL,100979303,300000,367.512,50975903,3485,7926165,7926165,77253008,72567235,1857847000,27817521
United Arab Emirates,ARE,9890400,83600,118.306,8479744,43103,1021191,1021191,9154521,9542266,5000000,168522672
Austria,AUT,8858775,83879,107.1,5194416,51448,15025546,15025546,13184659,12484626,1085695,393235124
Belgium,BEL,11455519,30530,375.3,11259082,47436,8947328,8947328,9541981,9430727,27427500,34315605
Bahrain,BHR,1701583,778,2238.925,1467109,23503,674909,674909,1201437,1026356,0,5935525
Bhutan,BTN,771612,38393,20.243,317538,3243,61419,61419,695693,673559,0,1711669
Algeria,DZA,43851043,2381740,18.411,31510100,3948,270570,270570,7840131,5756374,1642713755,
Ecuador,ECU,17643060,256370,71.038,11116711,6183,999837,999837,15237316,14088205,0,2855228
Indonesia,IDN,273523621,1913580,150.987,151509724,4135,14524997,14524997,203882351,170493187,338558,51528978
Kuwait,KWT,4270563,17820,239.65,4207083,32031,657745,657745,3306742,3297554,0,7379048
Laos,LAO,7275556,236800,31.523,2555552,2534,215157,215157,5847917,5192136,0,1030237
Lebanon,LBN,6825442,10450,667.199,6084994,7784,1213200,1213200,2648351,2387386,0,237492
Mali,MLI,20250834,1240190,16.596,8479688,890,32385,32385,2203178,1639384,0,605
Myanmar,MMR,54409794,676590,83.286,16674093,1407,617739,617739,34777314,27505329,0,4656460
Malawi,MWI,19129955,118480,202.906,3199301,411,87842,87842,3036122,2247780,37000000,83230
Nigeria,NGA,206139587,923770,226.336,102806948,2229,264617,264617,43817495,31125902,298500000,702055
Oman,OMN,5106622,309500,16.5,4250777,15474,397993,397993,3269526,3044088,0,
Panama,PAN,4314768,75420,58.041,2890084,15731,984234,984234,3497920,3142428,0,5650767
Syria,SYR,17500657,185180,95.304,9358019,,57197,57197,2940095,2017778,0,
Chad,TCD,16425859,1284000,13.045,3712273,709,7558,7558,3733869,3607933,0,
Uzbekistan,UZB,33469199,447400,78.677,16935729,1724,244006,244006,21051293,16378576,410000,
Zambia,ZMB,18383956,752610,24.73,7871713,1291,333229,333229,7540676,5851127,0,3412336
Argentina,ARG,44938712,2780400,16.515,41339571,10006,27450377,27450377,52967364,48319990,100000000,81577955
Czech Republic,CZE,10649800,78870,137.7,7887156,23010,12154031,12154031,13947454,12954594,0,21753314
India,IND,1380004385,3287259,464.149,471031528,2104,126463452,126463452,1755475513,1274813983,104135383691,1560074932
Peru,PER,29381884,1285220,25.759,25390339,6977,10651933,10651933,29837772,28162516,23757005,
United States of America,USA,331002647,9831510,36.185,270663028,65118,272181074,272181074,519008567,592362147,16179000000,1282443179
Australia,AUS,25499881,7741220,3.319,21844756,54907,20327173,20327173,82763045,43158123,4703229757,157210407
Bosnia and Herzegovina,BIH,3280815,51210,64.33,1605144,6073,397602,397602,943394,836080,9190000,1043518
Bermuda,BMU,62273,4290,1245.46,63918,,18019,18019,48554,46066,0,41927
Brunei,BRN,437483,5770,83.014,337711,31086,224610,224610,449429,444307,0,581
Bolivia,BOL,11673029,1098580,10.775,8033035,3552,1106538,1106538,12401608,10066060,0,4438270
Canada,CAN,37742157,9984670,4.15,30628482,46194,7914343,7914343,93796514,90452263,10015395120,62175498
Denmark,DNK,5806081,42920,138.0,5119978,61360,3283706,3283706,4816889,4781451,3000000,64649913
Grenada,GRD,112519,340,330.938,40765,10965,19473,19473,44019,38800,0,3187
Croatia,HRV,4076246,56590,73.2,2328318,14868,1222007,1222007,2309901,2236074,3292815,2726155
Haiti,HTI,11402533,27750,413.735,6328948,754,56492,56492,358867,221304,0,598
Israel,ISR,8655541,22070,399.979,8374393,43641,12717008,12717008,18210008,16661311,141155058,51780014
Japan,JPN,126476458,377970,346.934,115782416,40246,39621765,39621765,104181296,102770932,8269849765,53504941
Cambodia,KHM,16718971,181040,94.714,3924621,1643,137739,137739,15172499,14513369,0,320474
Macedonia,MKD,2077132,25710,83.4,1212740,6093,341889,341889,854256,813921,,799331
Nepal,NPL,29136808,147180,203.256,5765513,1071,999121,999121,26605011,21962932,0,6402903
Papua New Guinea,PNG,8947027,462840,19.757,1162834,2845,44931,44931,347753,279952,0,
Pakistan,PAK,220892331,796100,286.546,79927762,1284,1588301,1588301,139267049,130489253,300000000,60216689
Paraguay,PRY,7132530,406751,17.953,4359150,5414,715806,715806,3986765,3516871,7000000,2597470
Serbia,SRB,6963764,88360,91.0,3907243,7402,2324719,2324719,3347075,3230533,0,9852866
South Sudan,SSD,11193729,619745,18.322,2201250,1119,17780,17780,1849007,1805515,0,58902
Venezuela,VEN,28435943,912050,32.238,25162368,,935540,935540,22157232,14135474,200000000,
Yemen,YEM,29825968,527970,56.492,10869523,968,11932,11932,711874,461914,0,
Thailand,THA,69799978,513120,136.624,35294600,7808,9342446,9342446,56972124,53420614,1888198189,24733803
Barbados,BRB,287371,430,668.305,89431,18148,101979,101979,158986,137967,0,6351
Burundi,BDI,11890781,27830,463.037,1541177,261,49882,49882,18764,18104,0,18945
Chile,CHL,17574003,756700,25.71,16610135,14896,13636490,13636490,18064495,17670326,3435342491,77745641
Cameroon,CMR,26545864,475440,56.157,14741256,1497,121652,121652,1569870,1225755,0,
Cape Verde,CPV,555988,4030,137.962,364029,3603,62346,62346,356355,305714,40026836,284917
Ghana,GHA,31072945,238540,136.56,17249054,2202,168616,168616,11371567,7875717,200000000,1325017
Saint Kitts and Nevis,KNA,53192,260,204.585,16269,19896,6536,6536,33794,26817,,15627
Liberia,LBR,5057677,111370,52.509,2548426,621,7929,7929,3467301,2949554,0,
Malta,MLT,493559,320,1548.3,475902,30090,114348,114348,466098,469495,0,1837038
Niger,NER,24206636,1267000,19.11,3850231,554,9388,9388,3740079,2972814,0,1713
Portugal,PRT,10276617,92225,113.0,6753579,23364,5495738,5495738,9746410,8914370,242461000,42825406
Suriname,SUR,586634,163820,3.76,384258,6854,81078,81078,267820,237797,0,84184
São Tomé and Príncipe,STP,219161,960,228.293,158277,1994,6177,6177,127161,100748,,4694
Swaziland,SWZ,1160164,17360,67.451,275333,3837,73374,73374,491715,481542,13640045,333
Trinidad and Tobago,TTO,1399491,5130,272.805,741944,17276,181567,181567,753441,716533,0,666279
Romania,ROU,19414458,238400,83.1,10468793,12390,5905216,5905216,8180548,8113894,808365,
Armenia,ARM,2963234,29740,104.083,1869848,4622,439302,439302,1129104,974023,,3102267
Burkina Faso,BFA,20903278,274220,76.401,6092349,774,21128,21128,2676883,2412636,0,547
Belarus,BLR,9449321,207600,46.569,7482982,6663,994037,994037,6498901,6377017,0,1448467
Costa Rica,CRI,5094114,51100,99.767,4041885,12238,1105792,1105792,4463581,4191631,40000000,3677525
United Kingdom,GBR,66647112,243610,273.8,55908316,43070,93262911,93262911,136505229,134342386,16471269647,979611028
Greece,GRC,10724599,131960,82.5,8507474,20296,4838811,4838811,7926591,7637081,3242505,48561395
Iceland,ISL,356991,103000,3.5,339110,66944,205284,205284,304895,289713,0,1373785
Kyrgyzstan,KGZ,6524191,199950,34.016,2362644,1309,205920,205920,1594808,1334181,0,
Moldova,MDA,4033963,33850,122.799,1135502,4498,583183,583183,1079437,1055428,14723949,2560337
Sudan,SDN,43849269,1886068,24.843,14957233,441,76591,76591,6651268,4499033,100000000,
Slovakia,SVK,5450421,49030,111.8,2930419,19470,1838393,1838393,5586740,5094779,0,51238482
Senegal,SEN,16743930,196710,86.968,7765706,1446,88230,88230,1473795,1021804,3800000,1102099
East Timor,TLS,1318442,14870,88.665,400182,1294,23237,23237,847592,743625,0,9154
Tanzania,TZA,59734213,947300,67.435,20011885,1122,39253,39253,19658725,17778283,0,
Ukraine,UKR,43733759,603550,75.492,30835699,3659,10333691,10333691,15774141,15153576,233711205,13377389
Saint Vincent and the Grenadines,VCT,110947,390,284.479,58185,7463,9446,9446,28199,21377,,2278
South Africa,ZAF,59308690,1219090,48.891,39149717,6001,11020928,11020928,22293695,19360708,480000000,24859294
