Country_name,3_letter_code,Total_new_vacinations,New_persons_fully_vaccinated
Sudan,SDN,6651268,4499033
Suriname,SUR,267820,237797
Swaziland,SWZ,491715,481542
Sweden,SWE,15675064,7662946
Switzerland,CHE,12078678,11933354
Syria,SYR,2940095,2017778
São Tomé and Príncipe,STP,127161,100748
Taiwan,TWN,21634247,20185262
Tajikistan,TJK,5213634,5108163
Tanzania,TZA,19658725,17778283
Thailand,THA,56972124,53420614
Togo,TGO,2159001,1389408
Tokelau,TKL,1339,157
Tonga,TON,88432,75255
Trinidad and Tobago,TTO,753441,716533
Tunisia,TUN,8896848,6378167
Turkey,TUR,54854453,52818565
Turkmenistan,TKM,2937760,2900494
Turks and Caicos Islands,TCA,32338,20288
Tuvalu,TUV,7052,6714
Uganda,UGA,18386089,12558081
Ukraine,UKR,15774141,15153576
United Arab Emirates,ARE,9154521,9542266
United Kingdom,GBR,136505229,134342386
United States of America,USA,519008567,592362147
Uruguay,URY,3000641,2875500
Uzbekistan,UZB,21051293,16378576
Vanuatu,VUT,143339,130493
Venezuela,VEN,22157232,14135474
Vietnam,VNM,89618505,83656864
Wallis and Futuna,WLF,5197,4969
Yemen,YEM,711874,461914
Zambia,ZMB,7540676,5851127
Zimbabwe,ZWE,6416575,4730223
