Country_name,Total_new_vaccinations
India,4773202
United States of America,908697
India,2141963
India,4352704
India,4296779
United States of America,847639
United States of America,923950
Vietnam,551753
India,1057714
India,2893973
United States of America,988595
United States of America,616373
United States of America,500538
India,3655730
India,1838313
United States of America,1401114
India,940694
India,1199310
India,1834110
India,2612109
India,732547
India,666003
United States of America,1730146
Vietnam,681251
India,1581743
India,1325883
India,1232022
India,2917542
India,6622289
United States of America,1053932
India,5797296
United States of America,1368793
United States of America,1163253
Vietnam,692652
Vietnam,710402
India,2542932
India,1179982
India,720065
United States of America,741825
Vietnam,1058011
India,1102722
India,2303602
India,645930
India,3501378
United States of America,1370079
Vietnam,623124
India,4110239
India,4774758
India,2302145
India,860503
India,4499021
United States of America,918283
India,2296492
India,1376277
India,4905665
Vietnam,972656
India,1337337
India,2874665
United States of America,566517
United States of America,799947
India,10096011
India,1476684
United States of America,1652840
India,2939368
India,1282345
India,4923588
India,3567879
India,5193953
India,2259925
India,5841374
India,5705937
India,3944006
India,1273729
India,2208541
United States of America,1091969
India,4283058
India,7458431
India,2633157
India,2170056
India,2198918
India,1030254
India,2989804
India,1305651
India,4504775
India,515099
India,5931674
India,2323429
India,6460721
India,3461701
India,2166091
United States of America,1249567
India,3089657
United States of America,1381557
United States of America,1738882
United States of America,1138693
United States of America,2556148
United States of America,605726
India,4356448
India,900274
India,1721706
India,1198687
United States of America,1747574
United States of America,1415615
India,1799154
India,2402200
India,2608531
India,1517247
India,1171620
India,1671851
India,2030799
India,951123
United States of America,1126090
United States of America,516657
India,931244
United States of America,1116298
India,5892354
India,559685
India,3122109
India,1274981
India,2252177
United States of America,757287
United States of America,682546
United States of America,1153099
India,2586687
India,726874
United States of America,860311
United States of America,2079490
United States of America,1973272
United States of America,889493
United States of America,2252720
India,4303492
India,2027125
India,1439479
Vietnam,817742
India,2059229
India,3595468
India,650434
India,2627099
India,2268317
India,2080152
India,589681
India,1328249
India,2281644
India,5549124
India,1234226
United States of America,1372132
United States of America,1258571
United States of America,942889
India,1794166
India,1247900
Vietnam,577767
India,2788082
India,3027610
Vietnam,1276953
India,1232131
India,9865786
India,1320252
India,572074
India,2022592
India,3228536
India,2807912
India,4490464
India,1180613
India,2430093
India,6893275
India,2542765
United States of America,579306
India,2522286
India,3195562
India,1414463
India,813572
India,1439309
India,1578955
India,7232228
India,1862280
India,517670
United States of America,962362
India,2225875
India,7928444
India,1837282
India,502938
United States of America,712768
India,774356
India,1415012
India,1048141
India,2280679
India,550167
United States of America,2005480
India,3659706
India,7494156
United States of America,2553877
United States of America,1765219
India,1825443
India,930354
United States of America,532023
Vietnam,2258857
Vietnam,725682
India,2287411
India,2593929
India,2897698
India,786860
United States of America,539068
India,2860722
India,1707475
United States of America,1119707
India,3950266
India,866207
United States of America,1723353
United States of America,610578
India,2119881
United States of America,678365
United States of America,1370517
India,4410510
India,8141709
India,1380741
India,1063406
India,4986155
India,2275780
India,3255737
India,5217549
United States of America,2288298
United States of America,628236
United States of America,1157564
United States of America,1036485
India,5707713
United States of America,506786
India,2678262
India,2350954
United States of America,669790
India,2014180
India,7701510
India,2858486
India,3048024
United States of America,644404
Vietnam,1489706
India,2826012
India,3679574
United States of America,734458
India,2239640
India,1270585
United States of America,670002
United States of America,563027
United States of America,2039136
United States of America,782741
United States of America,935913
India,5729286
India,4253174
India,2619157
United States of America,602247
United States of America,522100
India,855851
United States of America,637840
India,1377035
India,1777309
United States of America,798390
United States of America,994723
India,826058
India,4673045
India,1636999
India,6392220
India,683896
India,536950
India,1071655
India,3349439
United States of America,820550
Vietnam,749064
Vietnam,1354776
India,1639663
India,2624234
United States of America,969272
India,2629455
Vietnam,525251
India,1593072
India,524738
India,2549037
India,1301486
United States of America,723366
India,2701439
India,3417453
India,3455639
United States of America,1384418
Canada,629734
Canada,1095278
United States of America,538966
United States of America,505799
Canada,2092786
Canada,645247
Canada,1551175
United States of America,574576
United States of America,505468
United States of America,521718
United States of America,533825
Canada,1729919
Bolivia,637694
Bolivia,1431134
Canada,1855838
Canada,1992755
Canada,1130287
Canada,1647012
United States of America,536502
Canada,902747
United States of America,581431
Canada,1937558
United States of America,638362
Canada,2348625
Bolivia,614600
Canada,2368272
Canada,1255366
United States of America,548031
Pakistan,830283
Pakistan,1556929
Japan,588289
Japan,817977
Japan,699928
Japan,570127
Pakistan,800000
Pakistan,3925961
Japan,691184
Japan,760049
Pakistan,1525800
Pakistan,729736
Pakistan,716869
Japan,577141
Pakistan,1221319
Pakistan,1330298
Pakistan,1400279
Japan,675188
Japan,730759
Pakistan,1524691
Pakistan,621246
Pakistan,1040538
Pakistan,1131917
Pakistan,1272052
Pakistan,1821189
Japan,794273
Japan,708618
Pakistan,584673
Pakistan,597542
Japan,570809
Pakistan,539918
Pakistan,737763
Japan,537971
Pakistan,1973800
Japan,789135
Pakistan,897864
Pakistan,671335
Japan,883670
Nepal,684596
Pakistan,1408034
Japan,762148
Pakistan,598991
Japan,671376
Japan,632599
Japan,509211
Japan,1044531
Japan,787897
Pakistan,1189266
Pakistan,738932
Pakistan,2263687
Pakistan,608103
Japan,670537
Pakistan,670841
Japan,578201
Pakistan,709206
Pakistan,2028137
Pakistan,1667762
Nepal,552011
Japan,778324
Pakistan,693710
Pakistan,644833
Pakistan,657335
Pakistan,818217
Pakistan,533646
Japan,867136
Japan,830288
Pakistan,508654
Japan,562152
Pakistan,909794
Pakistan,519054
Japan,641529
Japan,767476
Pakistan,851837
Pakistan,970650
Pakistan,674646
Pakistan,584991
Pakistan,597053
Pakistan,585153
Pakistan,700254
Pakistan,797930
Pakistan,537095
Japan,675856
Pakistan,858133
Japan,626344
Pakistan,2039854
Pakistan,1194989
Japan,625950
Japan,749368
Pakistan,1198707
Pakistan,1874860
Pakistan,796436
Pakistan,696723
Japan,1042254
Japan,726055
Japan,612539
Japan,620172
Japan,576162
Pakistan,837149
Japan,626045
Pakistan,860795
Pakistan,896350
Japan,619398
Pakistan,2413095
Japan,586063
Japan,731500
Pakistan,2314298
Japan,570841
Nepal,2313350
Japan,1006202
Japan,514862
Japan,615980
Pakistan,1555975
Japan,774625
Pakistan,1347561
Japan,650670
Pakistan,663285
Japan,547354
Japan,721930
Pakistan,1407758
Pakistan,956870
Japan,598895
Pakistan,2174819
Japan,908538
Pakistan,623094
Pakistan,1159322
Japan,781353
Pakistan,1317886
Nepal,3073053
Nepal,1081544
Pakistan,711726
Pakistan,563378
Pakistan,880089
Pakistan,606803
Japan,616879
Pakistan,3912540
Pakistan,950313
Pakistan,587220
Japan,576996
Pakistan,579687
Japan,891886
Japan,652385
Japan,576101
Pakistan,949226
Japan,745693
Japan,843258
Pakistan,571088
Japan,813876
Japan,501296
Japan,773042
Japan,696879
Pakistan,956018
Japan,712963
Japan,563963
Japan,586743
Japan,628239
Pakistan,970835
Pakistan,1227208
Japan,599568
Pakistan,1417188
Pakistan,1221088
Japan,591116
Japan,787027
Pakistan,642189
Pakistan,528816
Japan,873404
Japan,605289
Pakistan,903474
Pakistan,628481
Japan,610732
Nepal,673461
Japan,647169
Pakistan,2060280
Japan,675478
Pakistan,1494937
Japan,1056981
Japan,549327
Nepal,588542
Japan,675800
Japan,958327
Japan,710938
Japan,511891
Pakistan,752641
Japan,830313
Japan,1064709
Japan,612984
Japan,599800
Pakistan,917347
Japan,625276
Pakistan,634205
Pakistan,549215
Japan,647478
Japan,740451
Pakistan,784679
Japan,614137
Pakistan,828519
Japan,577818
Japan,778680
Japan,615824
Pakistan,710424
Japan,647433
Japan,1070803
Pakistan,622172
Pakistan,4134638
Japan,544739
Japan,806898
Pakistan,2632491
Nepal,1197736
Japan,782131
Japan,610682
Japan,865830
Japan,900665
Japan,742364
Pakistan,503951
Pakistan,750562
Japan,642104
Japan,812336
Pakistan,649230
Nepal,1819524
Pakistan,1052665
Pakistan,559381
Japan,752913
Japan,583773
South Korea,575399
South Korea,827732
Iraq,519032
South Korea,673186
South Korea,653671
Ivory Coast,1644476
South Korea,767842
South Korea,661601
South Korea,654955
South Korea,569677
South Korea,506350
South Korea,562394
Ivory Coast,727924
South Korea,545506
South Korea,744498
South Korea,568319
South Korea,525200
South Korea,692507
South Korea,828561
South Korea,602749
South Korea,648117
Taiwan,602497
South Korea,538488
South Korea,594132
South Korea,661983
Ivory Coast,1062389
South Korea,617747
South Korea,770059
South Korea,620510
South Korea,894314
South Korea,746288
South Korea,603794
South Korea,726546
Netherlands,1005835
Netherlands,722008
Russia,842930
Netherlands,619850
Netherlands,927467
Russia,619445
Netherlands,817918
Thailand,3742415
Russia,660748
Russia,3158334
Netherlands,589171
Thailand,547128
Russia,672179
Netherlands,556786
Russia,952901
Thailand,507015
Netherlands,797046
Netherlands,507296
Russia,500663
Russia,1227095
Russia,869297
Russia,690666
Russia,534046
Thailand,877802
Netherlands,567745
Russia,1235525
Netherlands,513053
Russia,589633
Netherlands,612331
Russia,544650
Netherlands,585947
